"my_id","follower_id","status"
"481","158","1"
"431","481","1"
"417","519","1"
"520","330","1"
"417","173","1"
"173","417","1"
"173","442","1"
"546","3","1"
"547","3","1"
"519","417","1"
"520","551","1"
"532","3","1"
"71","551","1"
"532","547","1"
"532","542","1"
"544","3","1"
"549","386","1"
"71","3","1"
"276","495","1"
"549","74","1"
"549","410","1"
"286","417","1"
"549","312","1"
"286","424","1"
"434","3","1"
"543","3","1"
"434","6","1"
"434","7","1"
"434","142","1"
"434","121","1"
"550","251","1"
"550","47","1"
"218","266","1"
"561","3","1"
"489","519","1"
"218","524","1"
"276","542","1"
"173","530","1"
"218","551","1"
"218","219","1"
"276","209","1"
"173","286","1"
"519","561","1"
"276","386","1"
"519","561","1"
"550","561","1"
"173","561","1"
"411","329","1"
"530","3","1"
"561","519","1"
"173","49","1"
"561","550","1"
"561","173","1"
"545","173","1"
"473","524","1"
"276","232","1"
"473","508","1"
"530","173","1"
"119","489","1"
"545","362","1"
"489","3","1"
"424","3","1"
"550","3","1"
"571","530","1"
"545","572","1"
"119","57","1"
"270","481","1"
"568","530","1"
"411","142","1"
"568","286","1"
"173","568","1"
"568","142","1"
"568","463","1"
"568","477","1"
"173","172","1"
"568","417","1"
"568","49","1"
"173","477","1"
"173","491","1"
"173","388","1"
"357","9","1"
"357","142","1"
"467","530","1"
"467","214","1"
"568","119","1"
"214","467","1"
"568","478","1"
"153","142","1"
"153","251","1"
"153","56","1"
"153","74","1"
"153","339","1"
"153","47","1"
"489","119","1"
"589","337","1"
"589","337","1"
"201","7","1"
"545","373","1"
"578","544","1"
"373","530","1"
"447","577","1"
"570","3","1"
"601","530","1"
"597","530","1"
"207","3","1"
"312","330","1"
"312","417","1"
"312","445","1"
"487","3","1"
"519","625","1"
"560","617","1"
"554","585","1"
"630","3","1"
"628","608","1"
"554","447","1"
"634","47","1"
"634","308","1"
"634","550","1"
"631","251","1"
"622","640","1"
"610","640","1"
"622","642","1"
"487","640","1"
"622","610","1"
"640","610","1"
"631","57","1"
"640","642","1"
"640","622","1"
"640","631","1"
"487","642","1"
"487","622","1"
"487","631","1"
"631","640","1"
"487","618","1"
"631","487","1"
"640","618","1"
"640","487","1"
"584","530","1"
"655","3","1"
"443","251","1"
"656","642","1"
"660","3","1"
"660","251","1"
"635","3","1"
"665","216","1"
"475","571","1"
"635","657","1"
"635","656","1"
"635","216","1"
"635","654","1"
"635","631","1"
"676","160","1"
"676","142","1"
"676","407","1"
"670","386","1"
"684","631","1"
"676","209","1"
"571","475","1"
"684","445","1"
"139","530","1"
"673","139","1"
"696","57","1"
"673","699","1"
"139","673","1"
"139","699","1"
"699","139","1"
"699","673","1"
"673","687","1"
"687","673","1"
"495","699","1"
"139","687","1"
"673","495","1"
"139","495","1"
"495","673","1"
"687","139","1"
"495","687","1"
"95","687","1"
"634","139","1"
"687","495","1"
"687","95","1"
"103","530","1"
"434","495","1"
"434","495","1"
"142","509","1"
"142","509","1"
"142","334","1"
"142","471","1"
"142","471","1"
"142","676","1"
"142","434","1"
"142","434","1"
"142","153","1"
"142","153","1"
"142","357","1"
"142","357","1"
"142","568","1"
"142","411","1"
"718","3","1"
"139","434","1"
"327","687","1"
"701","3","1"
"368","561","1"
"719","3","1"
"681","701","1"
"192","47","1"
"192","362","1"
"92","681","1"
"192","386","1"
"728","3","1"
"192","662","1"
"732","109","1"
"633","192","1"
"295","139","1"
"362","192","1"
"139","295","1"
"72","692","1"
"214","730","1"
"727","3","1"
"192","744","1"
"139","704","1"
"730","47","1"
"139","748","1"
"730","214","1"
"748","701","1"
"730","72","1"
"755","704","1"
"755","295","1"
"139","520","1"
"755","520","1"
"520","295","1"
"520","704","1"
"704","139","1"
"520","139","1"
"704","755","1"
"520","755","1"
"704","520","1"
"756","47","1"
"586","748","1"
"746","445","1"
"760","322","1"
"746","407","1"
"760","142","1"
"746","386","1"
"699","495","1"
"760","74","1"
"586","434","1"
"760","329","1"
"748","586","1"
"746","362","1"
"746","362","1"
"586","495","1"
"626","687","1"
"748","139","1"
"586","699","1"
"586","687","1"
"586","673","1"
"586","139","1"
"117","497","1"
"139","586","1"
"434","687","1"
"434","699","1"
"673","434","1"
"673","748","1"
"673","586","1"
"95","327","1"
"737","327","1"
"327","737","1"
"726","11","1"
"726","7","1"
"70","164","1"
"654","635","1"
"782","753","1"
"554","597","1"
"767","3","1"
"767","6","1"
"767","2","1"
"767","7","1"
"767","9","1"
"767","1","1"
"117","395","1"
"794","3","1"
"164","70","1"
"657","635","1"
"764","338","1"
"764","3","1"
"353","152","1"
"699","687","1"
"681","530","1"
"790","417","1"
"152","353","1"
"407","676","1"
"783","395","1"
"783","657","1"
"783","391","1"
"792","3","1"
"783","327","1"
"783","626","1"
"783","497","1"
"783","687","1"
"395","117","1"
"395","783","1"
"821","822","1"
"821","109","1"
"825","386","1"
"825","57","1"
"821","3","1"
"824","3","1"
"108","3","1"
"783","821","1"
"783","822","1"
"815","434","1"
"108","160","1"
"815","586","1"
"815","748","1"
"218","821","1"
"108","821","1"
"810","737","1"
"322","471","1"
"322","371","1"
"322","148","1"
"322","384","1"
"322","760","1"
"779","3","1"
"779","833","1"
"818","822","1"
"106","815","1"
"779","821","1"
"818","821","1"
"727","726","1"
"818","109","1"
"295","520","1"
"835","3","1"
"117","354","1"
"354","737","1"
"395","823","1"
"849","3","1"
"856","818","1"
"830","167","1"
"673","815","1"
"48","635","1"
"602","354","1"
"820","3","1"
"602","395","1"
"818","856","1"
"821","818","1"
"821","568","1"
"821","779","1"
"248","477","1"
"815","824","1"
"847","824","1"
"815","847","1"
"812","445","1"
"847","815","1"
"824","815","1"
"863","3","1"
"824","847","1"
"95","847","1"
"873","3","1"
"847","95","1"
"873","115","1"
"673","824","1"
"673","847","1"
"589","547","1"
"833","779","1"
"439","280","1"
"589","530","1"
"668","480","1"
"681","280","1"
"165","820","1"
"860","439","1"
"568","856","1"
"280","681","1"
"894","209","1"
"514","251","1"
"139","815","1"
"514","142","1"
"139","824","1"
"280","439","1"
"439","681","1"
"891","86","1"
"139","847","1"
"687","327","1"
"824","673","1"
"687","626","1"
"824","139","1"
"687","586","1"
"687","434","1"
"687","699","1"
"687","783","1"
"815","106","1"
"843","589","1"
"815","673","1"
"815","139","1"
"847","139","1"
"847","673","1"
"139","601","1"
"139","568","1"
"514","445","1"
"514","386","1"
"139","512","1"
"890","589","1"
"514","306","1"
"895","897","1"
"514","330","1"
"514","115","1"
"514","266","1"
"514","339","1"
"139","280","1"
"867","165","1"
"161","887","1"
"881","3","1"
"288","847","1"
"288","847","1"
