"id","post_id","parent_comment_id","comment","sender_id","user_id","status","action","type"
"187","1007","186","test","3","3","0","Replied","Post"
"188","1007","186","testr","3","3","0","Replied","Post"
"189","998","182","Oya tester","4","3","0","Replied","Post"
"190","1002",NULL,"just some funny comment","22","22","0","Commented","Post"
"191","1002","190","I just replied you","22","22","0","Replied","Post"
"193","993",NULL,NULL,"4","2","1","Like","Reaction"
"194","983",NULL,NULL,"4","2","1","Like","Reaction"
"195","983",NULL,NULL,"4","2","1","Love","Reaction"
"197","985",NULL,NULL,"2","2","1","Like","Reaction"
"198","985",NULL,NULL,"2","2","1","Love","Reaction"
"199","999",NULL,NULL,"1","4","1","Like","Reaction"
"202","1007",NULL,NULL,"3","3","0","Like","Reaction"
"216","998",NULL,NULL,"2","2","0","Like","Reaction"
"219","999",NULL,NULL,"4","4","1","Like","Reaction"
"222","998",NULL,NULL,"4","2","0","Love","Reaction"
