id,user_id,title,content,tags,slug,created_at,updated_at,image,status_id,action,post_id
11,942,why,lucid why na,,why-8be,8/25/2019 21:04,8/28/2019 12:30,,,,
12,329,Please note,The screenshot of my HTML CV attached to my last post on Lucid blog is not showing**!**,,please-note-4f4,8/25/2019 21:06,8/28/2019 12:30,,,,
13,2151,HNG internship journey so far,"So far on the HNG pre-internship we've been able to go through a few concepts like HTML5 and CSS.

  

Although i've been familiar with these tools, i've been able to refresh my knowledge during the program.

  

The task on creating my curriculum vitae with HTML alone was a bit challenging as it required some thought especially since we weren't to use CSS, i enjoyed the task though as it helped me get familiar with HTML tables and also helped me appreciate the power of CSS more.

  

Here's my screenshot of the task 👇👇👇

  

![](/storage/2151/images/img-s9xtjf0svr.png)",,hng-internship-journey-so-far-599,8/25/2019 21:09,8/28/2019 12:30,1,,,
14,352,What I done so far,"I have learnt about html tags, heading, the version of html and how html is structured.

The internship has been intriguing for me so far, despite my experience in html and CSS, I met with some challenges, since we were told to recreate the CV we submitted using html with no css. I am not used to using table before but with the way my CV is structured I have to use table. I had to apply creativity and guess what? I get it done.

  

You can see the screenshot below![](/storage/352/images/img-tqp6625vqy.png)",,what-i-done-so-far-bde,8/25/2019 21:10,8/28/2019 12:30,1,,,
15,2153,Learnt Learn and Learning,"So far into the world of technologies I've been able to learn web development and some technologies in it.

I've learnt back-end technologies such as PHP and Go-Lang.

I'd like to learn in the future how to develop web apps with much more complex technologies.I'll also like to learn my algorithms and data structures.",,learnt-learn-and-learning-df6,8/25/2019 21:21,8/28/2019 12:30,,,,
16,2158,Learning Web development at StartNg,"With this opportunity brought to me by StartNg, so far so good I have learnt; how to create hyperlink from within a post in a website to a page in another website, how to relate within a group and how to create google forms and google sheets.

I further wish to learn more about web development while it will be a better way to learn if videos can be made available on how to go about each of the tasks.

Thanks to StartNg for giving me the chance to be part of this grate adventure.",,learning-web-development-at-startng-553,8/25/2019 21:33,8/28/2019 12:30,,,,
17,54,The Journey with StartNG: Creating my CV with pure HTML,"In my previous post, I talked about all the interesting things i have learnt so far. In this post, I will be talking about my experience using HTML.

I must admit, it was pretty tough at first because I never imagined there will be a day when I will use HTML without using CSS. After being familiar with using grids,rows and columns to style pages; using tables was a virgin experience for me and I must say, I am really impressed with myself.

I discovered how to use several attributes in html that could be used for styling without using as in-line styling css or linked css file, amongst them were the font, size, face and valign attributes.

You know, I could go on and on about all I was able to accomplish using HTML, but I think I would rather show you instead.

Below is my CV using just HTML.

  

![](/storage/54/images/img-ny41o4pks1.png)",,the-journey-with-startng-creating-my-cv-with-pure-html-ea3,8/25/2019 21:36,8/28/2019 12:30,1,,,
18,619,What i have done so far on start.ng,"<p>When I embarked on this internship, i wouldn't be termed as a complete beginner with regards to HTML and CSS, so the classes and tasks went relatively smoothly for me. But, even at that, there was still so much to learn, like how to take a full web page screenshot and i also got to improve on my HTML skills...",,what-i-have-done-so-far-on-startng-c38,8/25/2019 21:42,8/28/2019 12:30,baeewele27/images/img-xgvakjqxq8.png,,,
19,619,Task Number 7,"<p><strong>What I have learnt so far:</strong></p>
<p>Even though this is just the beginning, my journey on start.ng has been very informative. I have learnt quite a lot like how to create a simple blog, how to use google docs, sheets and many more...",,task-number-7-258,8/25/2019 21:42,8/28/2019 12:30,,,,
20,1487,What has been learnt so far?,"It has been an interesting journey so far, having learnt certain things like HTML, CSS, how Cloudinary works and also Github. I've been able to use HTML create my CV web page and also used cloudinary link to upload my picture on the web page. Attached is a screenshot of how the web page looks like.![](/storage/1487/images/img-cvtzvfy8a5.png)",,what-has-been-learnt-so-far-86e,8/25/2019 21:48,8/28/2019 12:30,1,,,
21,225,WHAT I HAVE DONE SO FAR ON HTML,"![](/storage/225/images/img-5y3zt92b66.png)What i have done so far; based on HTML, is learning how to use it to create a C.V with it. Below is a screenshot of the C.V i created with HTML.

![](/storage/225/images/img-c2wdyq537d.png)

![](/storage/225/images/img-orl8q73xom.png)",,what-i-have-done-so-far-on-html-0c7,8/25/2019 21:48,8/28/2019 12:30,1,,,
22,1008,TASK 2,"HI GUYS
-------

On the previous post I talked about the things I had learnt so far , the things expected to learn , and i also made some suggestions concerning how the pre-internship could be improved. Well, that was just being basic and to be frank things have changed over here :).

Believe me when i say that the emoji i just tried to post is deceptive . i am actually trying to find a way to insert a crying emoji. I believe i would get around it soon. Talking about things changing, there has just been a lot happening that made the past week look very long.

Remember HTML? yeah that ""web dude"" i said i learnt about last week in our previous post here [https://lucid.blog/joshuaerondu4/post/1566424436](https://lucid.blog/joshuaerondu4/post/1566424436) .. I was given a task to know him better and wow he is fun ( is he? ;) ) .

The task was basically to use the elements of html to display the contents of the CV I submitted in task one..

You did not expect me to smile when i saw the task instructions.. I was like ""HELL NO!!"" . I honestly did not see i how i was going to get that done at my pre-novice level..Yeah pre-novice. I did though and it got me feeling superhuman..

I'd attach an image below to show you what i did ...

**NB : _You are permitted to laugh. I'd get better though. Moreover I was instructed to not use CSS ( Oh CSS is another web dude. i might introduce him in subsequent posts . You'd love him, he is a cool makeup artist)._**

Seat back, relax while I go get the image to serve ya ;)...![](/storage/1008/images/img-tiy41308ti.png)

###### ![](/storage/1008/images/img-4hzt6a1wfz.jpeg)![](/storage/1008/images/img-nf7vkl33wg.jpeg)![](/storage/1008/images/img-d6hk0xl4m4.jpeg)![](/storage/1008/images/img-mhpwbnf5t1.jpeg)![](/storage/1008/images/img-x61qeuolf6.jpeg)

There you go... The CV of the extraordinary **me** :)

**(EDIT) FOR SOME REASON THE IMAGE IS NOT DISPLAYING LUCID.BLOG PLATFORM IS FACING SOME ISSUES THAT WOULD BE FIXED SOON . YOU CAN HOWEVER VIEW THE IMAGE HERE**

[https://res.cloudinary.com/joshbillionz/image/upload/v1566758010/Start.ng/CV\_WEB\_PAGE\_laadbu.png](https://res.cloudinary.com/joshbillionz/image/upload/v1566758010/Start.ng/CV_WEB_PAGE_laadbu.png)

How did i get that beautiful (without makeup) piece of art done? . I applied what i learnt within the week concerning HTML . i used a

element to fix the body of the CV while i used an

tag to apply the photo .. i took the screenshot without the image though ..

I learnt during the week that HTML (Hyper Text Markup Language) is made up of several elements which possess attributes .. the attributes are used as extra spices to the HTML elements ..

I leave you to enjoy the view of the outstanding CV above while i go get more knowledge..

**SEE YOU ON THE NEXT POST..**",Start.ng,task-2-28b,8/25/2019 21:53,8/28/2019 12:30,1,,,
23,1442,CURRICULUM VITAE IN HTML,"Exploring the possibilities that exists in the usage of basic html in presentation of data is limited only by the ingenuity of the developer. Even without applying CSS to style the page ,it is quiet easy to have a decent looking document.

  

![](/storage/1442/images/img-3k24o4atzj.png)

![](/storage/1442/images/img-3cve95710g.png)",,curriculum-vitae-in-html-817,8/25/2019 21:54,8/28/2019 12:30,1,,,
24,2102,HNG start.ng Task 2,"The second task that was alloted to us (the pre-interns) were to

1\. Create a html format for our CV;

2\. Upload an image link into it; and

3\. Push the html format CV to github.

  

This second task had been successfully done and coupled with this, I have learnt all the things three listed above.","Hng, Html, Technology, Github",hng-startng-task-2-f40,8/25/2019 22:03,8/28/2019 12:30,,,,
25,146,kikkymakz,1.  Achieveing this was a huge success on my part. I am glad am part of this internship program. Thanks to @startng.com. this is my github screenshot and read more on my Thought to know how this was achieved.![](/storage/146/images/img-3tngcedwoi.png)![](/storage/146/images/img-p7njid8z3e.png),,kikkymakz-60d,8/25/2019 22:03,8/28/2019 12:30,1,,,
26,2156,StartNg Task One,"**What i have learnt so far:**

> I have learnt a lot via startNg youtube channel, i learnt how to host pages on github, i also learnt how to create notes on slack, how to fetch notes on a channel, how to fetch all notes across all channels

**What you wish to still learn:**

> I wish to learn NodeJs and React here, i also wish to improve my laravel and angular skills as well throughout this internship.

**What you wish should be improved:**

> Nothing so far","Technology, Intership",startng-task-one-44c,8/25/2019 22:05,8/28/2019 12:30,,,,
27,1929,The Journey so far,"I just created my first html page guys!!!!!! I am so stoked. This isn’t the first time I’m trying it out but I actually saw this through (you must be beginning to think that I am really bad at getting my tasks done; I actually am). After procrastinating my life and time away I actually got through with creating my first html page.

  

HTML is actually not so tough. I’m not saying that it’s easy, don’t get me wrong but with the help of the classes- both theoretical and practical-, I have been able to create my first html page. When starting out this task, I had to first declare the type of document it was (i.e html5) after which, I then had to write out my head and body opening and closing tags. This enables me to create a html page that will be pleasant to the eyes of those that will be viewing it. The head and body tags weren’t the only tags I made use of. I also made use of the table tags, the break line tag, the ordered and unordered list tags to mention a few. I also learnt how to include comments in my IDE. Comments are not exactly viewed on the page. No. they’re meant for other developers (if they are just so curious) to be able to understand what exactly goes on in different parts of my code. It has been a refreshing experience so far. I didn’t feel like throwing my laptop or phone away and so I believe it’s safe for me to say that I look forward to the next task!![](/storage/1929/images/img-ar11nf4kt.png)",,the-journey-so-far-e82,8/25/2019 22:10,8/28/2019 12:30,1,,,
28,888,HTML: The journey so far.,HTML (HyperText Markup Language) is a language used to create websites. It's been an interesting dive into HTML so far. I designed a site with just HTML with the content being my CV and it taught me how to use a couple of tags that I didn't fully understand. ![](/storage/888/images/img-pxv8wyq3zm.png),,html-the-journey-so-far-9cb,8/25/2019 22:13,8/28/2019 12:30,1,,,
29,2159,Public Journal :task 2. HTML CV,"firstly I cant find my previous entry. My first entry. figure that out later.

  

I wrote down my CV using HTML , start to finish. took a while but it got done.

  

I learnt some new things about creating a table with html alone and adding images plus why attributes are important.

  

![](/storage/2159/images/img-marwq7w2o9.png) ![](/storage/2159/images/img-8kgpwdsd6w.png)",,public-journal-task-2-html-cv-131,8/25/2019 22:14,8/28/2019 12:30,1,,,
30,231,My CV using HTML,"This week's task opened my eyes to a possibility i never thought of. I was able to write my CV using HTML elements. I started off by using the header element (h1) to create my name as the heading of my CV. It is interesting to see how possible it was to use the ""ul"" elements consisting of ""li"" to list my work experience, education, and skills.

I also observed how raw it looked because they was no styling on the it. The challenging part of this task for me is writing articles. I stopped writing a long time ago, because i lost the inspiration to write. The task has given me the necessary push to get me writing again.

Basically i concluded my CV using the footer element. I am getting more familiar with the HTML elements.

Thank you",,my-cv-using-html-1dc,8/25/2019 22:25,8/28/2019 12:30,,,,
31,721,My HTML work on Slack,"Its been an enterprising lesson on HTML, the last task was brainstorming that exposed me to web development which deals on Structuring. i hope to develop more on the task.

Attached is an example of the work done with HTML![](/storage/721/images/img-ld4i2ies9d.png)",,my-html-work-on-slack-a95,8/25/2019 22:38,8/28/2019 12:30,1,,,
32,2154,My First Week in the StartNG Bootcamp,"During my first week in the StartNG classes, I've learnt the following:

  

  

  

*   How to use HTML tags, links, tables, forms, id, classes
*   How to use CSS tag selectors, Pseudo-classes
*   How to use Git and Github.
*   How to optimize the use of the Google Search engine and tips on sharpening my googling skills.
*   How to research properly and ask appropriate and relevant questions on Stackoverflow so as not to negatively affect my reputation within the Stackoverflow community.
*   I created my first blog using WordPress with the help of my colleagues 

  

  

I expect to learn to create aesthetically pleasing and responsive websites using CSS and JavaScript in the coming weeks.

  

  

  

If there's any improvement I could suggest, it would be to make the classes not so fast-paced and break down the instructions as much as possible to aid the learning of absolute beginners.",,my-first-week-in-the-startng-bootcamp-a3f,8/25/2019 23:22,8/28/2019 12:30,,,,
33,1553,As the Journey continues !!!,"<p>Although, I have got some idea what the HNG pre-internship has for me, it seems there are lot more goodies than I can imagine. The past one week of learning has been both overwhelming and rewarding for me...",,as-the-journey-continues-95b,8/25/2019 23:22,8/28/2019 12:30,mariamatoyebi/images/img-rp8qy89ljz.png,,,
34,1553,As the Journey continues !!!,"<p>Although, I have got some idea what the HNG pre-internship has for me, it seems there are lot more goodies than I can imagine. The past one week of learning has been both overwhelming and rewarding for me...",,as-the-journey-continues-95b,8/25/2019 23:22,8/28/2019 12:30,mariamatoyebi/images/img-jfbowfomiq.png,,,
35,1553,A New Path: HNG Pre-Internship,"<p>I just started my journey to a new path. A path I hope will avail me at the end. As a Machine Learning/ data science enthusiast, I know there is a need to understand how my machine learning models will be deployed or put to use...",,a-new-path-hng-pre-internship-dfe,8/25/2019 23:22,8/28/2019 12:30,,,,
36,1553,A new Path: HNG Pre-internship,"<p>I just started my journey to a new path. A path I hope will avail me at the end. As a Machine Learning/ data science enthusiast, I know there is a need to understand how my machine learning models will be deployed or put to use...",,a-new-path-hng-pre-internship-dfe,8/25/2019 23:22,8/28/2019 12:30,,,,
37,2167,Learning with Startng,"This is my first time and first post on Lucid, learnt about lucid from learning with startng. Great platform.",,learning-with-startng-b69,8/25/2019 23:24,8/28/2019 12:30,,,,
38,837,Startng task 2,"I have learnt a lot on the basics of HTML. Below is an example of what I can do with HTML.

![](/storage/837/images/img-7nz0tw1o3d.png)![](/storage/837/images/img-z72kd0iejo.png)![](/storage/837/images/img-cvlvzjgrgg.png)","startng, HTML, Task2",startng-task-2-b4f,8/25/2019 23:30,8/28/2019 12:30,1,,,
39,1036,What i have learnt so far from Start.ng,"Start.ng have been a wonderful p![](/storage/1036/images/img-bfr9gv28t7.png)![](/storage/1036/images/img-l6magfqw73.png)![](/storage/1036/images/img-d8ry1cqjvk.png)re-internship program for me, i have been able to learn html and css.",,what-i-have-learnt-so-far-from-startng-ec3,8/25/2019 23:31,8/28/2019 12:30,1,,,
40,368,Lucid post to start.ng Task1,"<p>I have learnt how to use break point and some other techniques in designing web pages without the use of javascript and html and i got more familiar with my ide<img src=""/storage/omolaja.abubakar05/images/img-fez71s4tyw...",,lucid-post-to-startng-task1-9bc,8/25/2019 23:34,8/28/2019 12:30,omolaja.abubakar05/images/img-5ygxthdgf6.png,,,
